club_home_name,club_away_name,name22,competition_id,round,season,home_club_goals,away_club_goals,away_club_id,home_club_id,game_id,peso round,Overall_home,Overall_away,Overall_league,Overall_Match_Home,Overall_Match_Away
Borussia Dortmund,Fc Bayern Munchen,Bayern Munich,L1,9. Matchday,2022,2,2,27,16,3839159,1.0,0.6818448152576279,0.971130632264834,0.4341487417241305,0.056524629756493784,0.056524629756493784
Sc Freiburg,Fc Bayern Munchen,Bayern Munich,L1,14. Matchday,2012,0,2,27,60,2231440,1.0,0.2839610852002533,0.971130632264834,0.4341487417241305,0.036488884140825455,0.04609799358376753
Sc Freiburg,Fc Bayern Munchen,Bayern Munich,L1,4. Matchday,2013,1,1,27,60,2321069,1.0,0.2839610852002533,0.971130632264834,0.4341487417241305,0.04129343886229649,0.04129343886229649
Sc Freiburg,Fc Bayern Munchen,Bayern Munich,L1,33. Matchday,2014,2,1,27,60,2460921,1.0,0.2839610852002533,0.971130632264834,0.4341487417241305,0.04609799358376753,0.036488884140825455
Sc Freiburg,Fc Bayern Munchen,Bayern Munich,L1,17. Matchday,2016,1,2,27,60,2704468,1.0,0.2839610852002533,0.971130632264834,0.4341487417241305,0.036488884140825455,0.04609799358376753
Sc Freiburg,Fc Bayern Munchen,Bayern Munich,L1,25. Matchday,2017,0,4,27,60,2872108,1.0,0.2839610852002533,0.971130632264834,0.4341487417241305,0.036488884140825455,0.04609799358376753
Sc Freiburg,Fc Bayern Munchen,Bayern Munich,L1,27. Matchday,2018,1,1,27,60,3058663,1.0,0.2839610852002533,0.971130632264834,0.4341487417241305,0.04129343886229649,0.04129343886229649
Sc Freiburg,Fc Bayern Munchen,Bayern Munich,L1,16. Matchday,2019,1,3,27,60,3203574,1.0,0.2839610852002533,0.971130632264834,0.4341487417241305,0.036488884140825455,0.04609799358376753
Sc Freiburg,Fc Bayern Munchen,Bayern Munich,L1,33. Matchday,2020,2,2,27,60,3412895,1.0,0.2839610852002533,0.971130632264834,0.4341487417241305,0.04129343886229649,0.04129343886229649
Sc Freiburg,Fc Bayern Munchen,Bayern Munich,L1,28. Matchday,2021,1,4,27,60,3588567,1.0,0.2839610852002533,0.971130632264834,0.4341487417241305,0.036488884140825455,0.04609799358376753
Vfb Stuttgart,Fc Bayern Munchen,Bayern Munich,L1,19. Matchday,2012,0,2,27,79,2231561,1.0,0.2464332685252073,0.971130632264834,0.4341487417241305,0.035195958678445084,0.0445177513519693
Vfb Stuttgart,Fc Bayern Munchen,Bayern Munich,L1,17. Matchday,2013,1,2,27,79,2321201,1.0,0.2464332685252073,0.971130632264834,0.4341487417241305,0.035195958678445084,0.0445177513519693
Vfb Stuttgart,Fc Bayern Munchen,Bayern Munich,L1,20. Matchday,2014,0,2,27,79,2460803,1.0,0.2464332685252073,0.971130632264834,0.4341487417241305,0.035195958678445084,0.0445177513519693
Vfb Stuttgart,Fc Bayern Munchen,Bayern Munich,L1,29. Matchday,2015,1,3,27,79,2581954,1.0,0.2464332685252073,0.971130632264834,0.4341487417241305,0.035195958678445084,0.0445177513519693
Vfb Stuttgart,Fc Bayern Munchen,Bayern Munich,L1,17. Matchday,2017,0,1,27,79,2871880,1.0,0.2464332685252073,0.971130632264834,0.4341487417241305,0.035195958678445084,0.0445177513519693
Vfb Stuttgart,Fc Bayern Munchen,Bayern Munich,L1,2. Matchday,2018,0,3,27,79,3058428,1.0,0.2464332685252073,0.971130632264834,0.4341487417241305,0.035195958678445084,0.0445177513519693
Vfb Stuttgart,Fc Bayern Munchen,Bayern Munich,L1,9. Matchday,2020,1,3,27,79,3413026,1.0,0.2464332685252073,0.971130632264834,0.4341487417241305,0.035195958678445084,0.0445177513519693
Vfb Stuttgart,Fc Bayern Munchen,Bayern Munich,L1,16. Matchday,2021,0,5,27,79,3588378,1.0,0.2464332685252073,0.971130632264834,0.4341487417241305,0.035195958678445084,0.0445177513519693
Vfb Stuttgart,Fc Bayern Munchen,Bayern Munich,L1,23. Matchday,2022,1,2,27,79,3839401,1.0,0.2464332685252073,0.971130632264834,0.4341487417241305,0.035195958678445084,0.0445177513519693
Fc Augsburg,Fc Bayern Munchen,Bayern Munich,L1,16. Matchday,2012,0,2,27,167,2231523,1.0,0.2650571076151561,0.971130632264834,0.4341487417241305,0.03583759568001041,0.04530197435388247
Fc Augsburg,Fc Bayern Munchen,Bayern Munich,L1,29. Matchday,2013,1,0,27,167,2321311,1.0,0.2650571076151561,0.971130632264834,0.4341487417241305,0.04530197435388247,0.03583759568001041
Fc Augsburg,Fc Bayern Munchen,Bayern Munich,L1,15. Matchday,2014,0,4,27,167,2460756,1.0,0.2650571076151561,0.971130632264834,0.4341487417241305,0.03583759568001041,0.04530197435388247
Fc Augsburg,Fc Bayern Munchen,Bayern Munich,L1,21. Matchday,2015,1,3,27,167,2581847,1.0,0.2650571076151561,0.971130632264834,0.4341487417241305,0.03583759568001041,0.04530197435388247
Fc Augsburg,Fc Bayern Munchen,Bayern Munich,L1,9. Matchday,2016,1,3,27,167,2704309,1.0,0.2650571076151561,0.971130632264834,0.4341487417241305,0.03583759568001041,0.04530197435388247
Fc Augsburg,Fc Bayern Munchen,Bayern Munich,L1,29. Matchday,2017,1,4,27,167,2872049,1.0,0.2650571076151561,0.971130632264834,0.4341487417241305,0.03583759568001041,0.04530197435388247
Fc Augsburg,Fc Bayern Munchen,Bayern Munich,L1,22. Matchday,2018,2,3,27,167,3058609,1.0,0.2650571076151561,0.971130632264834,0.4341487417241305,0.03583759568001041,0.04530197435388247
Fc Augsburg,Fc Bayern Munchen,Bayern Munich,L1,8. Matchday,2019,2,2,27,167,3203502,1.0,0.2650571076151561,0.971130632264834,0.4341487417241305,0.040569785016946434,0.040569785016946434
Fc Augsburg,Fc Bayern Munchen,Bayern Munich,L1,17. Matchday,2020,0,1,27,167,3413160,1.0,0.2650571076151561,0.971130632264834,0.4341487417241305,0.03583759568001041,0.04530197435388247
Fc Augsburg,Fc Bayern Munchen,Bayern Munich,L1,12. Matchday,2021,2,1,27,167,3588308,1.0,0.2650571076151561,0.971130632264834,0.4341487417241305,0.04530197435388247,0.03583759568001041
Fc Augsburg,Fc Bayern Munchen,Bayern Munich,L1,7. Matchday,2022,1,0,27,167,3839139,1.0,0.2650571076151561,0.971130632264834,0.4341487417241305,0.04530197435388247,0.03583759568001041
Vfl Wolfsburg,Fc Bayern Munchen,Bayern Munich,L1,22. Matchday,2012,0,2,27,82,2231554,1.0,0.4102593441194858,0.971130632264834,0.4341487417241305,0.04084016938144983,0.051416231100086224
Vfl Wolfsburg,Fc Bayern Munchen,Bayern Munich,L1,24. Matchday,2013,1,6,27,82,2321266,1.0,0.4102593441194858,0.971130632264834,0.4341487417241305,0.04084016938144983,0.051416231100086224
Vfl Wolfsburg,Fc Bayern Munchen,Bayern Munich,L1,18. Matchday,2014,4,1,27,82,2460781,1.0,0.4102593441194858,0.971130632264834,0.4341487417241305,0.051416231100086224,0.04084016938144983
Vfl Wolfsburg,Fc Bayern Munchen,Bayern Munich,L1,23. Matchday,2015,0,2,27,82,2581868,1.0,0.4102593441194858,0.971130632264834,0.4341487417241305,0.04084016938144983,0.051416231100086224
Vfl Wolfsburg,Fc Bayern Munchen,Bayern Munich,L1,31. Matchday,2016,0,6,27,82,2704671,1.0,0.4102593441194858,0.971130632264834,0.4341487417241305,0.04084016938144983,0.051416231100086224
Vfl Wolfsburg,Fc Bayern Munchen,Bayern Munich,L1,23. Matchday,2017,1,2,27,82,2871726,1.0,0.4102593441194858,0.971130632264834,0.4341487417241305,0.04084016938144983,0.051416231100086224
Vfl Wolfsburg,Fc Bayern Munchen,Bayern Munich,L1,8. Matchday,2018,1,3,27,82,3058485,1.0,0.4102593441194858,0.971130632264834,0.4341487417241305,0.04084016938144983,0.051416231100086224
Vfl Wolfsburg,Fc Bayern Munchen,Bayern Munich,L1,34. Matchday,2019,0,4,27,82,3203733,1.0,0.4102593441194858,0.971130632264834,0.4341487417241305,0.04084016938144983,0.051416231100086224
Vfl Wolfsburg,Fc Bayern Munchen,Bayern Munich,L1,29. Matchday,2020,2,3,27,82,3412968,1.0,0.4102593441194858,0.971130632264834,0.4341487417241305,0.04084016938144983,0.051416231100086224
Vfl Wolfsburg,Fc Bayern Munchen,Bayern Munich,L1,34. Matchday,2021,2,2,27,82,3588668,1.0,0.4102593441194858,0.971130632264834,0.4341487417241305,0.04612820024076803,0.04612820024076803
Vfl Wolfsburg,Fc Bayern Munchen,Bayern Munich,L1,19. Matchday,2022,2,4,27,82,3839335,1.0,0.4102593441194858,0.971130632264834,0.4341487417241305,0.04084016938144983,0.051416231100086224
Bayer 04 Leverkusen,Fc Bayern Munchen,Bayern Munich,L1,26. Matchday,2012,1,2,27,15,2231627,1.0,0.5274627475625653,0.971130632264834,0.4341487417241305,0.04487811451162737,0.0563514973703032
Bayer 04 Leverkusen,Fc Bayern Munchen,Bayern Munich,L1,8. Matchday,2013,1,1,27,15,2321119,1.0,0.5274627475625653,0.971130632264834,0.4341487417241305,0.050614805940965284,0.050614805940965284
Bayer 04 Leverkusen,Fc Bayern Munchen,Bayern Munich,L1,31. Matchday,2014,2,0,27,15,2460897,1.0,0.5274627475625653,0.971130632264834,0.4341487417241305,0.0563514973703032,0.04487811451162737
Bayer 04 Leverkusen,Fc Bayern Munchen,Bayern Munich,L1,20. Matchday,2015,0,0,27,15,2581823,1.0,0.5274627475625653,0.971130632264834,0.4341487417241305,0.050614805940965284,0.050614805940965284
Bayer 04 Leverkusen,Fc Bayern Munchen,Bayern Munich,L1,29. Matchday,2016,0,0,27,15,2704642,1.0,0.5274627475625653,0.971130632264834,0.4341487417241305,0.050614805940965284,0.050614805940965284
Bayer 04 Leverkusen,Fc Bayern Munchen,Bayern Munich,L1,18. Matchday,2017,1,3,27,15,2871486,1.0,0.5274627475625653,0.971130632264834,0.4341487417241305,0.04487811451162737,0.0563514973703032
Bayer 04 Leverkusen,Fc Bayern Munchen,Bayern Munich,L1,20. Matchday,2018,3,1,27,15,3058587,1.0,0.5274627475625653,0.971130632264834,0.4341487417241305,0.0563514973703032,0.04487811451162737
Bayer 04 Leverkusen,Fc Bayern Munchen,Bayern Munich,L1,30. Matchday,2019,2,4,27,15,3203696,1.0,0.5274627475625653,0.971130632264834,0.4341487417241305,0.04487811451162737,0.0563514973703032
Bayer 04 Leverkusen,Fc Bayern Munchen,Bayern Munich,L1,13. Matchday,2020,1,2,27,15,3413083,1.0,0.5274627475625653,0.971130632264834,0.4341487417241305,0.04487811451162737,0.0563514973703032
Bayer 04 Leverkusen,Fc Bayern Munchen,Bayern Munich,L1,8. Matchday,2021,1,5,27,15,3588240,1.0,0.5274627475625653,0.971130632264834,0.4341487417241305,0.04487811451162737,0.0563514973703032
Bayer 04 Leverkusen,Fc Bayern Munchen,Bayern Munich,L1,25. Matchday,2022,2,1,27,15,3839430,1.0,0.5274627475625653,0.971130632264834,0.4341487417241305,0.0563514973703032,0.04487811451162737
Borussia Monchengladbach,Fc Bayern Munchen,Bayern Munich,L1,34. Matchday,2012,3,4,27,18,2231653,1.0,0.4138474271908681,0.971130632264834,0.4341487417241305,0.04096378765650953,0.051567320102936964
Borussia Monchengladbach,Fc Bayern Munchen,Bayern Munich,L1,18. Matchday,2013,0,2,27,18,2321209,1.0,0.4138474271908681,0.971130632264834,0.4341487417241305,0.04096378765650953,0.051567320102936964
Borussia Monchengladbach,Fc Bayern Munchen,Bayern Munich,L1,9. Matchday,2014,0,0,27,18,2460701,1.0,0.4138474271908681,0.971130632264834,0.4341487417241305,0.04626555387972325,0.04626555387972325
Borussia Monchengladbach,Fc Bayern Munchen,Bayern Munich,L1,15. Matchday,2015,3,1,27,18,2581754,1.0,0.4138474271908681,0.971130632264834,0.4341487417241305,0.051567320102936964,0.04096378765650953
Borussia Monchengladbach,Fc Bayern Munchen,Bayern Munich,L1,25. Matchday,2016,0,1,27,18,2704579,1.0,0.4138474271908681,0.971130632264834,0.4341487417241305,0.04096378765650953,0.051567320102936964
Borussia Monchengladbach,Fc Bayern Munchen,Bayern Munich,L1,13. Matchday,2017,2,1,27,18,2872029,1.0,0.4138474271908681,0.971130632264834,0.4341487417241305,0.051567320102936964,0.04096378765650953
Borussia Monchengladbach,Fc Bayern Munchen,Bayern Munich,L1,24. Matchday,2018,1,5,27,18,3058634,1.0,0.4138474271908681,0.971130632264834,0.4341487417241305,0.04096378765650953,0.051567320102936964
Borussia Monchengladbach,Fc Bayern Munchen,Bayern Munich,L1,14. Matchday,2019,2,1,27,18,3203553,1.0,0.4138474271908681,0.971130632264834,0.4341487417241305,0.051567320102936964,0.04096378765650953
Borussia Monchengladbach,Fc Bayern Munchen,Bayern Munich,L1,15. Matchday,2020,3,2,27,18,3413118,1.0,0.4138474271908681,0.971130632264834,0.4341487417241305,0.051567320102936964,0.04096378765650953
Borussia Monchengladbach,Fc Bayern Munchen,Bayern Munich,L1,1. Matchday,2021,1,1,27,18,3588139,1.0,0.4138474271908681,0.971130632264834,0.4341487417241305,0.04626555387972325,0.04626555387972325
Borussia Monchengladbach,Fc Bayern Munchen,Bayern Munich,L1,21. Matchday,2022,3,2,27,18,3839369,1.0,0.4138474271908681,0.971130632264834,0.4341487417241305,0.051567320102936964,0.04096378765650953
Eintracht Frankfurt,Fc Bayern Munchen,Bayern Munich,L1,28. Matchday,2012,0,1,27,24,2231637,1.0,0.4421151783336949,0.971130632264834,0.4341487417241305,0.0419376811162134,0.052757634331463896
Eintracht Frankfurt,Fc Bayern Munchen,Bayern Munich,L1,2. Matchday,2013,0,1,27,24,2321062,1.0,0.4421151783336949,0.971130632264834,0.4341487417241305,0.0419376811162134,0.052757634331463896
Eintracht Frankfurt,Fc Bayern Munchen,Bayern Munich,L1,11. Matchday,2014,0,4,27,24,2460723,1.0,0.4421151783336949,0.971130632264834,0.4341487417241305,0.0419376811162134,0.052757634331463896
Eintracht Frankfurt,Fc Bayern Munchen,Bayern Munich,L1,11. Matchday,2015,0,0,27,24,2581705,1.0,0.4421151783336949,0.971130632264834,0.4341487417241305,0.04734765772383864,0.04734765772383864
Eintracht Frankfurt,Fc Bayern Munchen,Bayern Munich,L1,7. Matchday,2016,2,2,27,24,2704277,1.0,0.4421151783336949,0.971130632264834,0.4341487417241305,0.04734765772383864,0.04734765772383864
Eintracht Frankfurt,Fc Bayern Munchen,Bayern Munich,L1,15. Matchday,2017,0,1,27,24,2871939,1.0,0.4421151783336949,0.971130632264834,0.4341487417241305,0.0419376811162134,0.052757634331463896
Eintracht Frankfurt,Fc Bayern Munchen,Bayern Munich,L1,17. Matchday,2018,0,3,27,24,3058564,1.0,0.4421151783336949,0.971130632264834,0.4341487417241305,0.0419376811162134,0.052757634331463896
Eintracht Frankfurt,Fc Bayern Munchen,Bayern Munich,L1,10. Matchday,2019,5,1,27,24,3203517,1.0,0.4421151783336949,0.971130632264834,0.4341487417241305,0.052757634331463896,0.0419376811162134
Eintracht Frankfurt,Fc Bayern Munchen,Bayern Munich,L1,22. Matchday,2020,2,1,27,24,3413111,1.0,0.4421151783336949,0.971130632264834,0.4341487417241305,0.052757634331463896,0.0419376811162134
Eintracht Frankfurt,Fc Bayern Munchen,Bayern Munich,L1,24. Matchday,2021,0,1,27,24,3588490,1.0,0.4421151783336949,0.971130632264834,0.4341487417241305,0.0419376811162134,0.052757634331463896
Eintracht Frankfurt,Fc Bayern Munchen,Bayern Munich,L1,1. Matchday,2022,1,6,27,24,3839025,1.0,0.4421151783336949,0.971130632264834,0.4341487417241305,0.0419376811162134,0.052757634331463896
Fc Schalke 04,Fc Bayern Munchen,Bayern Munich,L1,4. Matchday,2012,0,2,27,33,2231423,1.0,0.357456593200263,0.971130632264834,0.4341487417241305,0.03902098491520861,0.049192783419124725
Fc Schalke 04,Fc Bayern Munchen,Bayern Munich,L1,6. Matchday,2013,0,4,27,33,2321081,1.0,0.357456593200263,0.971130632264834,0.4341487417241305,0.03902098491520861,0.049192783419124725
Fc Schalke 04,Fc Bayern Munchen,Bayern Munich,L1,2. Matchday,2014,1,1,27,33,2460635,1.0,0.357456593200263,0.971130632264834,0.4341487417241305,0.04410688416716667,0.04410688416716667
Fc Schalke 04,Fc Bayern Munchen,Bayern Munich,L1,13. Matchday,2015,1,3,27,33,2581723,1.0,0.357456593200263,0.971130632264834,0.4341487417241305,0.03902098491520861,0.049192783419124725
Fc Schalke 04,Fc Bayern Munchen,Bayern Munich,L1,2. Matchday,2016,0,2,27,33,2704223,1.0,0.357456593200263,0.971130632264834,0.4341487417241305,0.03902098491520861,0.049192783419124725
Fc Schalke 04,Fc Bayern Munchen,Bayern Munich,L1,5. Matchday,2017,0,3,27,33,2871695,1.0,0.357456593200263,0.971130632264834,0.4341487417241305,0.03902098491520861,0.049192783419124725
Fc Schalke 04,Fc Bayern Munchen,Bayern Munich,L1,4. Matchday,2018,0,2,27,33,3058442,1.0,0.357456593200263,0.971130632264834,0.4341487417241305,0.03902098491520861,0.049192783419124725
Fc Schalke 04,Fc Bayern Munchen,Bayern Munich,L1,2. Matchday,2019,0,3,27,33,3203447,1.0,0.357456593200263,0.971130632264834,0.4341487417241305,0.03902098491520861,0.049192783419124725
Fc Schalke 04,Fc Bayern Munchen,Bayern Munich,L1,18. Matchday,2020,0,4,27,33,3413176,1.0,0.357456593200263,0.971130632264834,0.4341487417241305,0.03902098491520861,0.049192783419124725
