age,Valore Reale,Valore Predetto,club_name,player_name,position,club_involved_name,season
20.0,0.2,0.6903546,Deportivo de La Coruña,Saúl García,Left-Back,Racing,2014/2015
18.0,0.35,2.9575531,FC Metz,Boubacar Traoré,Central Midfield,AS Bamako,2019/2020
18.0,11.0,4.685261,Brighton & Hove Albion,Kacper Kozlowski,Central Midfield,Pogon Szczecin,2021/2022
24.0,2.25,7.279628,Watford FC,Ken Sema,Left Midfield,Östersund,2018/2019
21.0,12.0,9.414015,AS Roma,Adem Ljajic,Attacking Midfield,Fiorentina,2013/2014
29.0,0.8,2.234258,Kuban Krasnodar (-2018),Stanislav Manolev,Right Winger,Dinamo Moscow,2014/2015
32.0,0.2,1.5891564,Hellas Verona,Francesco Benussi,Goalkeeper,Udinese Calcio,2014/2015
24.0,3.5,3.7399156,Celta de Vigo,Gabriel Fernández,Centre-Forward,Peñarol,2018/2019
20.0,0.435,1.8697175,FK Orenburg,Danila Khotulev,Centre-Back,Zenit 2 S-Pb,2022/2023
26.0,8.0,4.6159525,Athletic Bilbao,Beñat Etxebarria,Central Midfield,Real Betis,2013/2014
23.0,1.5,2.19577,Montpellier HSC,Lukas Pokorny,Centre-Back,Slovan Liberec,2016/2017
25.0,0.5,3.7157347,SM Caen,Florian Raspentino,Centre-Forward,Marseille,2014/2015
23.0,4.0,6.400228,Stade Reims,Anastasios Donis,Centre-Forward,VfB Stuttgart,2020/2021
24.0,2.5,2.7940204,Hannover 96,Josip Elez,Centre-Back,HNK Rijeka,2018/2019
20.0,5.0,5.4166436,Olympique Marseille,Karim Rekik,Centre-Back,Man City,2015/2016
18.0,1.0,2.7597291,Real Sociedad,David Concha,Right Winger,Racing,2015/2016
29.0,12.0,3.6094425,FK Krasnodar,Rémy Cabella,Attacking Midfield,Saint-Étienne,2019/2020
27.0,1.15,2.9029758,Deportivo Alavés,Mamadou Sylla,Centre-Forward,Girona,2021/2022
25.0,0.25,2.2410333,Genoa CFC,Enis Nadarevic,Left Winger,Varese,2012/2013
31.0,5.6,6.6764126,Wolverhampton Wanderers,João Moutinho,Central Midfield,Monaco,2018/2019
24.0,21.0,11.969302,AC Milan,Andrea Bertolacci,Central Midfield,AS Roma,2015/2016
23.0,1.5,2.2718723,FC Ingolstadt 04,Elias Kachunga,Right Winger,SC Paderborn,2015/2016
24.0,1.5,3.4473398,FC Porto,Hyun-jun Suk,Centre-Forward,Vitória Setúbal,2015/2016
18.0,31.1,11.393219,Inter Milan,Alessandro Bastoni,Centre-Back,Atalanta BC,2017/2018
21.0,0.26,3.4615004,FK Ufa,Artem Golubev,Defensive Midfield,Krasnodar,2020/2021
23.0,0.3,2.6887443,Excelsior Rotterdam,Elías Már Ómarsson,Centre-Forward,IFK Göteborg,2018/2019
23.0,1.5,4.599064,SS Lazio,Moritz Leitner,Central Midfield,Bor. Dortmund,2016/2017
20.0,30.0,26.052296,Paris Saint-Germain,Gonçalo Guedes,Left Winger,Benfica,2016/2017
28.0,7.0,7.919015,LOSC Lille,Benjamin André,Defensive Midfield,Stade Rennais,2019/2020
22.0,4.0,2.2366855,Stade Reims,Ghislain Konan,Left-Back,Vit. Guimarães,2018/2019
23.0,14.0,5.655639,TSG 1899 Hoffenheim,Diadié Samassékou,Defensive Midfield,RB Salzburg,2019/2020
20.0,8.0,5.7542615,LOSC Lille,Sven Botman,Centre-Back,Ajax U21,2020/2021
23.0,4.0,3.3032577,FC Porto,Zaidu,Left-Back,Santa Clara,2020/2021
31.0,2.0,1.6012666,AJ Auxerre,Nuno Da Costa,Centre-Forward,Nottm Forest,2022/2023
29.0,0.2,1.5472599,Málaga CF,Cenk Gönen,Goalkeeper,Galatasaray,2017/2018
23.0,7.5,2.2885644,Sporting CP,Marcus Edwards,Right Winger,Vit. Guimarães,2021/2022
